x,y
0.993855772,0.1248995053
-0.2053457212,-0.1674478666
-0.6376370903,0.0187665872
0.4495280748,-0.06275404794
0.3553387725,0.1824443484
-0.9001229986,-0.1889048269
-0.7724136638,-0.01941628759
-0.8753221275,-0.05540632449
-0.774133506,-0.01995612891
-0.5744964617,0.03450831045
-0.9431069018,-0.1803965953
-0.9530119519,-0.09193508976
-0.09169431575,-0.1537931112
-0.9882713133,-0.161358878
-0.9988099062,-0.1343555573
-0.3657149479,-0.1833445655
-0.8755664324,-0.05550345535
0.6535860081,-0.01460405215
-0.07947732875,-0.152213786
